t	A01:sig	A02:1sig'	A03:1sum	A04:1diff	A05:1ax1	A06:1ax2	A07:1ax3	A08:1ax4	A09:1ax5	D10:on	D11:ax
0.689453	0.000774789	0	0	0	0	0	0	0	0	0	0
0.691406	0.00293892	0	0	0	0	0	0	0	0	0	0
0.693359	0.00528904	0	0	0	0	0	0	0	0	0	0
0.695312	0.00768476	0	0	0	0	0	0	0	0	0	0
0.697266	0.00996238	0	0	0	0	0	0	0	0	0	0
0.699219	0.0119522	0	0	0	0	0	0	0	0	0	0
0.701172	0.0134979	0	0	0	0	0	0	0	0	0	0
0.703125	0.0144751	0	0	0	0	0	0	0	0	0	0
0.705078	0.0148063	0	0	0	0	0	0	0	0	0	0
0.707031	0.0144698	0	0	0	0	0	0	0	0	0	0
0.708984	0.0135011	0	0	0	0	0	0	0	0	0	0
0.710938	0.0119871	0	0	0	0	0	0	0	0	0	0
0.712891	0.0100539	0	0	0	0	0	0	0	0	0	0
0.714844	0.00784992	0	0	0	0	0	0	0	0	0	0
0.716797	0.00552727	0	0	0	0	0	0	0	0	0	0
0.71875	0.00322505	0	0	0	0	0	0	0	0	0	0
0.720703	0.00105587	0	0	0	0	0	0	0	0	0	0
0.722656	-0.000901418	0	0	0	0	0	0	0	0	0	0
0.724609	-0.00260219	0	0	0	0	0	0	0	0	0	0
0.726562	-0.00403052	0	0	0	0	0	0	0	0	0	0
0.728516	-0.00518851	0	0	0	0	0	0	0	0	0	0
0.730469	-0.006083	0	0	0	0	0	0	0	0	0	0
0.732422	-0.00671252	0	0	0	0	0	0	0	0	0	0
0.734375	-0.00705746	0	0	0	0	0	0	0	0	0	0
0.736328	-0.00707519	0	0	0	0	0	0	0	0	0	0
0.738281	-0.00670182	0	0	0	0	0	0	0	0	0	0
0.740234	-0.00586102	0	0	0	0	0	0	0	0	0	0
0.742188	-0.0044782	0	0	0	0	0	0	0	0	0	0
0.744141	-0.00249842	0	0	0	0	0	0	0	0	0	0
0.746094	9.50942e-05	0	0	0	0	0	0	0	0	0	0
0.748047	0.00326505	0	0	0	0	0	0	0	0	0	0
0.75	0.00690985	0	0	0	0	0	0	0	0	0	0
0.751953	0.0108613	0	0	0	0	0	0	0	0	0	0
0.753906	0.0148906	0	0	0	0	0	0	0	0	0	0
0.755859	0.0187252	0	0	0	0	0	0	0	0	0	0
0.757812	0.0220711	0	0	0	0	0	0	0	0	0	0
0.759766	0.0246413	0	0	0	0	0	0	0	0	0	0
0.761719	0.0261857	0	0	0	0	0	0	0	0	0	0
0.763672	0.0265187	0	0	0	0	0	0	0	0	0	0
0.765625	0.0255406	0	0	0	0	0	0	0	0	0	0
0.767578	0.0232521	0	0	0	0	0	0	0	0	0	0
0.769531	0.0197567	0	0	0	0	0	0	0	0	0	0
0.771484	0.0152545	0	0	0	0	0	0	0	0	0	0
0.773438	0.0100248	0	0	0	0	0	0	0	0	0	0
0.775391	0.00440238	0	0	0	0	0	0	0	0	0	0
0.777344	-0.00125144	0	0	0	0	0	0	0	0	0	0
0.779297	-0.00657896	0	0	0	0	0	0	0	0	0	0
0.78125	-0.0112539	0	0	0	0	0	0	0	0	0	0
0.783203	-0.0150049	0	0	0	0	0	0	0	0	0	0
0.785156	-0.0176318	0	0	0	0	0	0	0	0	0	0
0.787109	-0.0190145	0	0	0	0	0	0	0	0	0	0
0.789062	-0.019114	0	0	0	0	0	0	0	0	0	0
0.791016	-0.0179668	0	0	0	0	0	0	0	0	0	0
0.792969	-0.0156745	0	0	0	0	0	0	0	0	0	0
0.794922	-0.0123896	0	0	0	0	0	0	0	0	0	0
0.796875	-0.00830103	0	0	0	0	0	0	0	0	0	0
0.798828	-0.00362012	0	0	0	0	0	0	0	0	0	0
0.800781	0.00143194	0	0	0	0	0	0	0	0	0	0
0.802734	0.00663375	0	0	0	0	0	0	0	0	0	0
0.804688	0.0117709	0	0	0	0	0	0	0	0	0	0
0.806641	0.0166413	0	0	0	0	0	0	0	0	0	0
