t	A01:w01	A02:w02	A03:w03	A04:w04	A05:w05	A06:w06	A07:w07	A08:w08	A09:w09	A10:w10	A11:w11	A12:w12	A13:w13	A14:w14	A15:w15	A16:w16	A17:w17	A18:w18	A19:s111	A20:s112	A21:s211	A22:s212	A23:a11	A24:a21
0.113281	-0.00292993	-0.0051524	-0.00624245	-0.0062058	-0.00509202	-0.00766647	-0.0073154	-0.00730026	-0.00800431	-0.00642514	-0.00716126	-0.0051918	-0.00404072	-0.00295675	-0.00427699	-0.00352851	-0.00213471	-0.000509143	0.00198561	-0.00766647	-0.0001688	-0.00352851	-0.00642514	-0.0001688
0.115234	-0.00120103	-0.00294097	-0.00359023	-0.00383174	-0.0025878	-0.00513041	-0.00469112	-0.00473559	-0.00495863	-0.00400734	-0.00447154	-0.0031395	-0.00222766	-0.00165319	-0.00234723	-0.00211573	-0.0013386	-0.000392199	0.00190407	-0.00513041	2.8491e-05	-0.00211573	-0.00400734	2.8491e-05
0.117188	0.000650525	-0.000471607	-0.00067991	-0.00119042	0.000156522	-0.002231	-0.00169957	-0.00183201	-0.00152791	-0.00127125	-0.00140893	-0.000836134	-0.000234842	-0.000225008	-0.000288486	-0.000602931	-0.000438482	-0.00021565	0.001701	-0.002231	0.000243545	-0.000602931	-0.00127125	0.000243545
0.119141	0.00251615	0.00211574	0.00231671	0.00155497	0.00296414	0.00086832	0.00148618	0.0012486	0.00209987	0.00161982	0.00183761	0.00157475	0.00180626	0.00122541	0.00175667	0.000905484	0.000497311	7.03335e-06	0.00144285	0.00086832	0.000456631	0.000905484	0.00161982	0.000456631
0.121094	0.00429666	0.00468116	0.00523251	0.00424314	0.00565791	0.00399148	0.00467527	0.00432968	0.00571609	0.00448632	0.00506067	0.00394225	0.00376284	0.00259799	0.00365376	0.00231427	0.00140101	0.00025773	0.00121242	0.00399148	0.000648141	0.00231427	0.00448632	0.000648141
0.123047	0.00590777	0.00709505	0.00791818	0.0067271	0.00807512	0.00696158	0.0076766	0.00723267	0.00910711	0.0071497	0.00805342	0.00612044	0.00551164	0.00380403	0.00529051	0.00354546	0.00221133	0.000514388	0.00109386	0.00696158	0.000800788	0.00354546	0.0071497	0.000800788
0.125	0.00728595	0.00924613	0.0102516	0.00888658	0.0100824	0.00961649	0.0103141	0.00979364	0.0120728	0.00944877	0.0106288	0.00798154	0.00695169	0.0047738	0.00658345	0.00454399	0.0028787	0.000755548	0.00115669	0.00961649	0.000900745	0.00454399	0.00944877	0.000900745
0.126953	0.00838864	0.0110462	0.0121438	0.0106319	0.0115845	0.0118196	0.0124429	0.0118746	0.014443	0.0112512	0.0126361	0.00942588	0.00801134	0.00546151	0.00748491	0.00527954	0.00336868	0.000961304	0.00144339	0.0118196	0.0009408	0.00527954	0.0112512	0.0009408
0.128906	0.00919414	0.0124317	0.0135397	0.011909	0.0125301	0.0134706	0.0139587	0.0133748	0.0160903	0.0124667	0.0139734	0.0103893	0.00865185	0.00584716	0.00797749	0.00574473	0.00366309	0.00111556	0.00195968	0.0134706	0.000920057	0.00574473	0.0124667	0.000920057
0.130859	0.00969613	0.0133624	0.0144145	0.0126946	0.01291	0.0145077	0.0148051	0.0142366	0.0169407	0.0130491	0.0145936	0.010843	0.00886869	0.00593531	0.00807571	0.00595132	0.00375965	0.00120771	0.00267226	0.0145077	0.000845313	0.00595132	0.0130491	0.000845313
0.132812	0.00989878	0.0138182	0.0147688	0.0129929	0.0127528	0.0149101	0.0149734	0.0144465	0.0169767	0.0130014	0.0145062	0.0107958	0.00868678	0.00575173	0.00781584	0.00592402	0.00367001	0.00123262	0.00351256	0.0149101	0.000730097	0.00592402	0.0130014	0.000730097
0.134766	0.00981259	0.0137954	0.014621	0.0128285	0.012116	0.0146929	0.0144987	0.0140325	0.0162338	0.0123672	0.0137708	0.0102863	0.00815523	0.00533736	0.00724959	0.00569436	0.00341663	0.00119197	0.00438499	0.0146929	0.000592887	0.00569436	0.0123672	0.000592887
0.136719	0.0094496	0.013302	0.0139993	0.0122374	0.0110753	0.0139018	0.0134512	0.0130566	0.0147943	0.0112259	0.0124857	0.00937557	0.0073384	0.00474298	0.00643611	0.00529477	0.00302953	0.00109196	0.00518143	0.0139018	0.000454724	0.00529477	0.0112259	0.000454724
0.138672	0.00882041	0.012356	0.0129376	0.0112611	0.0097127	0.0126035	0.0119241	0.0116053	0.012776	0.00967693	0.010776	0.00814128	0.00630713	0.00402194	0.00543427	0.00475442	0.00254285	0.000943899	0.00579584	0.0126035	0.000336587	0.00475442	0.00967693	0.000336587
0.140625	0.00793564	0.010984	0.011472	0.00994241	0.00810838	0.0108774	0.0100231	0.00977838	0.0103167	0.00783348	0.00877571	0.00666428	0.00513101	0.00322568	0.00430036	0.0040974	0.00199166	0.000762343	0.00613928	0.0108774	0.000254869	0.0040974	0.00783348	0.000254869
0.142578	0.00680697	0.00922219	0.00964057	0.00832295	0.00633383	0.00880897	0.00785458	0.00767946	0.00756252	0.00580716	0.00661504	0.00502658	0.00387228	0.00239903	0.00308108	0.0033423	0.00140968	0.000563145	0.00615209	0.00880897	0.000219643	0.0033423	0.00580716	0.000219643
0.144531	0.00545108	0.00711896	0.00748688	0.00644481	0.00444853	0.00648355	0.00551713	0.00540698	0.00465429	0.00370121	0.00440848	0.00330019	0.0025816	0.00157803	0.00181794	0.00250462	0.00082761	0.000362635	0.00581157	0.00648355	0.000232399	0.00250462	0.00370121	0.000232399
0.146484	0.00389445	0.00473732	0.00506377	0.0043534	0.0024997	0.00398409	0.00309777	0.00305033	0.00171888	0.00160074	0.00224614	0.00154972	0.00129807	0.000789225	0.000546455	0.00159922	0.000271589	0.000174761	0.00513309	0.00398409	0.000284493	0.00159922	0.00160074	0.000284493
0.148438	0.00217783	0.00215763	0.00243866	0.00210285	0.000528693	0.00139093	0.000670075	0.000685692	-0.00113606	-0.000424862	0.000192761	-0.000172138	4.92334e-05	5.01871e-05	-0.000700712	0.000644028	-0.000237107	1.20401e-05	0.0041666	0.00139093	0.000359178	0.000644028	-0.000424862	0.000359178
0.150391	0.000357509	-0.000521541	-0.00030309	-0.00024128	-0.00142682	-0.00121641	-0.00170195	-0.00162125	-0.00382328	-0.0023241	-0.00171256	-0.00182104	-0.00114501	-0.000628412	-0.00189304	-0.000337481	-0.000682741	-0.000116944	0.00298828	-0.00121641	0.000432611	-0.000337481	-0.0023241	0.000432611
0.152344	-0.00149214	-0.00318511	-0.00305617	-0.00259829	-0.00332463	-0.00375724	-0.00396168	-0.00381196	-0.00627398	-0.0040586	-0.00344896	-0.00335813	-0.00226843	-0.00124109	-0.00299907	-0.00131488	-0.00105494	-0.000208259	0.00168836	-0.00375724	0.000478327	-0.00131488	-0.0040586	0.000478327
0.154297	-0.00328386	-0.00570585	-0.00569785	-0.00487244	-0.00511515	-0.00614715	-0.00605249	-0.00583243	-0.0084331	-0.00559926	-0.00500751	-0.00474715	-0.00330508	-0.00178432	-0.00398517	-0.00225112	-0.00134891	-0.000261188	0.000359416	-0.00614715	0.000471413	-0.00225112	-0.00559926	0.000471413
0.15625	-0.0049206	-0.00795192	-0.00809371	-0.00695682	-0.00673723	-0.00829649	-0.00791514	-0.00762725	-0.0102539	-0.00691938	-0.00638115	-0.00595307	-0.00423503	-0.00225562	-0.00481915	-0.00310436	-0.00156525	-0.000279903	-0.000915229	-0.00829649	0.000393391	-0.00310436	-0.00691938	0.000393391
0.158203	-0.0063045	-0.00979659	-0.010107	-0.00873911	-0.00812149	-0.0101143	-0.00948477	-0.00913954	-0.0116936	-0.00799108	-0.00755906	-0.00693941	-0.00503314	-0.00265115	-0.00546932	-0.00383168	-0.0017091	-0.00027144	-0.00206953	-0.0101143	0.000235438	-0.00383168	-0.00799108	0.000235438
0.160156	-0.00734663	-0.0111293	-0.0116114	-0.0101115	-0.00919223	-0.0115103	-0.0106922	-0.0103085	-0.0127107	-0.00878358	-0.00852013	-0.00766802	-0.00567007	-0.00296521	-0.00590897	-0.00439328	-0.00178984	-0.000245094	-0.00305855	-0.0115103	1.84774e-06	-0.00439328	-0.00878358	1.84774e-06
